FID,changerate,geom,id
coastal_migration_satellite_0_40k.183,-6.36913695,POINT (45.6798649642 -1.2314976553),183
coastal_migration_satellite_0_40k.184,-6.42905414,POINT (45.6769769192 -1.2297492802),184
coastal_migration_satellite_0_40k.185,-10.02884492,POINT (45.6744269602 -1.2271397346),185
coastal_migration_satellite_0_40k.186,-8.99543143,POINT (45.6724369991 -1.2236827083),186
coastal_migration_satellite_0_40k.187,-11.01971466,POINT (45.6711259629 -1.2196195174),187
coastal_migration_satellite_0_40k.188,-3.26712542,POINT (45.6703476399 -1.2152771619),188
coastal_migration_satellite_0_40k.189,1.76319256,POINT (45.6699860428 -1.2108268817),189
coastal_migration_satellite_0_40k.190,1.00414115,POINT (45.6700144974 -1.2063354899),190
coastal_migration_satellite_0_40k.191,1.54010786,POINT (45.6700626217 -1.2018466513),191
coastal_migration_satellite_0_40k.192,1.53291822,POINT (45.6705996545 -1.1974213116),192
coastal_migration_satellite_0_40k.193,3.99877532,POINT (45.6715340004 -1.1931343925),193
coastal_migration_satellite_0_40k.194,5.88936696,POINT (45.6730674517 -1.1892280058),194
coastal_migration_satellite_0_40k.195,5.71289296,POINT (45.6752379674 -1.1860231825),195
coastal_migration_satellite_0_40k.196,-78.2299608,POINT (45.6779552813 -1.1860630753999999),196
coastal_migration_satellite_0_40k.197,-5.29431335,POINT (45.6785044724 -1.1904286148),197
coastal_migration_satellite_0_40k.198,-5.78260516,POINT (45.6779953556 -1.1948518188000001),198
coastal_migration_satellite_0_40k.199,-1.90467194,POINT (45.6771191094 -1.1991647585),199
coastal_migration_satellite_0_40k.200,-1.68304383,POINT (45.6762926244 -1.2034923496),200
coastal_migration_satellite_0_40k.201,-5.10854248,POINT (45.6759981144 -1.2079539474),201
coastal_migration_satellite_0_40k.202,6.23434549,POINT (45.676390112 -1.2123888872),202
coastal_migration_satellite_0_40k.203,21.20161503,POINT (45.6775822498 -1.2165092688999999),203
coastal_migration_satellite_0_40k.204,-6.85060439,POINT (45.6795318608 -1.2199951754),204
coastal_migration_satellite_0_40k.205,21.17365503,POINT (45.6820536882 -1.2226453135),205
coastal_migration_satellite_0_40k.206,43.61699918,POINT (45.6849155981 -1.2244816843),206
coastal_migration_satellite_0_40k.207,-15.22918343,POINT (45.6879591438 -1.2255740932),207
coastal_migration_satellite_0_40k.208,1.42167142,POINT (45.6910514271 -1.2257253709),208
coastal_migration_satellite_0_40k.209,-1.12820133,POINT (45.693570416200004 -1.2231663571),209
coastal_migration_satellite_0_40k.210,-2.09211137,POINT (45.6954816845 -1.2196509302),210
coastal_migration_satellite_0_40k.211,-3.40462036,POINT (45.6963101969 -1.215369348),211
coastal_migration_satellite_0_40k.212,-10.32230021,POINT (45.6960361142 -1.2109212411),212
coastal_migration_satellite_0_40k.213,-5.18316757,POINT (45.6949508134 -1.2067132346),213
coastal_migration_satellite_0_40k.214,0.93635755,POINT (45.6933569117 -1.2028445071),214
coastal_migration_satellite_0_40k.215,-2.06556936,POINT (45.6917629645 -1.1989757797),215
coastal_migration_satellite_0_40k.216,8.28128933,POINT (45.6900079307 -1.1952593273),216
coastal_migration_satellite_0_40k.217,0.12056032,POINT (45.6881483948 -1.191641582),217
coastal_migration_satellite_0_40k.218,-2.71163206,POINT (45.6862887971 -1.1880238366),218
coastal_migration_satellite_0_40k.219,7.37097851,POINT (45.6844291376 -1.1844060913),219
coastal_migration_satellite_0_40k.220,-44.76275714,POINT (45.6825694162 -1.180788346),220
coastal_migration_satellite_0_40k.221,18.90425974,POINT (45.6807623975 -1.1771193035),221
coastal_migration_satellite_0_40k.222,-15.41890242,POINT (45.6790994661 -1.1733102179000001),222
coastal_migration_satellite_0_40k.223,-5.27908,POINT (45.6774364853 -1.1695011323),223
coastal_migration_satellite_0_40k.224,-0.2641846,POINT (45.6757734551 -1.1656920466),224
coastal_migration_satellite_0_40k.225,-8.37675562,POINT (45.6741103831 -1.161882961),225
coastal_migration_satellite_0_40k.226,-7.07854268,POINT (45.6722251496 -1.1582920306),226
coastal_migration_satellite_0_40k.227,-5.63941365,POINT (45.670339717 -1.1547012133),227
coastal_migration_satellite_0_40k.228,-4.536561,POINT (45.6684542209 -1.151110396),228
coastal_migration_satellite_0_40k.229,-2.7214503,POINT (45.6664503643 -1.1476539459),229
coastal_migration_satellite_0_40k.230,-0.32419923,POINT (45.6644346989 -1.1442108042),230
coastal_migration_satellite_0_40k.231,-0.26743708,POINT (45.6624189609 -1.1407676625),231
coastal_migration_satellite_0_40k.232,0.2981656,POINT (45.6604031503 -1.1373245208),232
coastal_migration_satellite_0_40k.233,0.08788972,POINT (45.6583872672 -1.1338813791),233
coastal_migration_satellite_0_40k.236,-15.44484109,POINT (45.8068879254 -1.2410639463),236
coastal_migration_satellite_0_40k.237,-19.68955613,POINT (45.8045225162 -1.2381211326),237
coastal_migration_satellite_0_40k.238,-17.84391165,POINT (45.8028060413 -1.2343913301),238
coastal_migration_satellite_0_40k.239,-7.44333623,POINT (45.8020493929 -1.2300876035),239
coastal_migration_satellite_0_40k.240,0.94901533,POINT (45.8041731961 -1.2272583621),240
coastal_migration_satellite_0_40k.241,-1.40686323,POINT (45.8068796876 -1.2250568991),241
coastal_migration_satellite_0_40k.1448,30.88763354,POINT (45.8611497604 -1.1237424829),1448
coastal_migration_satellite_0_40k.1449,-14.25774856,POINT (45.8606572544 -1.1281545057),1449
coastal_migration_satellite_0_40k.1450,-11.5786181,POINT (45.8603864616 -1.1326272112),1450
coastal_migration_satellite_0_40k.1451,-3.13104181,POINT (45.8603222992 -1.1371178426),1451
coastal_migration_satellite_0_40k.1452,0.93631785,POINT (45.8602581369 -1.141608474),1452
coastal_migration_satellite_0_40k.1453,-0.10616357,POINT (45.8599412958 -1.1460640807),1453
coastal_migration_satellite_0_40k.1454,0.04663066,POINT (45.8592121454 -1.1503616384),1454
coastal_migration_satellite_0_40k.1455,-24.08279687,POINT (45.856532662 -1.1521225962),1455
coastal_migration_satellite_0_40k.1456,0.93244606,POINT (45.8541293779 -1.1549480381000001),1456
coastal_migration_satellite_0_40k.1457,-0.46208396,POINT (45.8521352428 -1.1584088229),1457
coastal_migration_satellite_0_40k.1458,1.37243824,POINT (45.8501410361 -1.1618696077),1458
coastal_migration_satellite_0_40k.1459,-2.47294966,POINT (45.8475016884 -1.164093903),1459
coastal_migration_satellite_0_40k.1460,-0.60670243,POINT (45.844601169 -1.1629398271),1460
coastal_migration_satellite_0_40k.1461,12.92562252,POINT (45.8420864542 -1.1603137599),1461
coastal_migration_satellite_0_40k.1462,7.53052533,POINT (45.8398483914 -1.1571747342),1462
coastal_migration_satellite_0_40k.1463,-5.18391432,POINT (45.8373362408 -1.1545041138),1463
coastal_migration_satellite_0_40k.1464,-5.07184455,POINT (45.8345762058 -1.1524198605),1464
coastal_migration_satellite_0_40k.1465,-2.33449451,POINT (45.8317390845 -1.1505241805),1465
coastal_migration_satellite_0_40k.1466,-2.61081061,POINT (45.8289399347 -1.1485256468),1466
coastal_migration_satellite_0_40k.1467,-3.44014473,POINT (45.8262595767 -1.1462065429),1467
coastal_migration_satellite_0_40k.1468,-6.26970353,POINT (45.8235790897 -1.1438874391),1468
coastal_migration_satellite_0_40k.1469,-22.42509668,POINT (45.8207596384 -1.1419918394),1469
coastal_migration_satellite_0_40k.1470,-11.23808634,POINT (45.8178055665 -1.1405060989),1470
coastal_migration_satellite_0_40k.1471,-1.93281653,POINT (45.8148513378 -1.1390203584),1471
coastal_migration_satellite_0_40k.1472,0.01395277,POINT (46.0050457533 -1.3913298397),1472
coastal_migration_satellite_0_40k.1473,-0.56970138,POINT (46.0021098177 -1.3898263050000002),1473
coastal_migration_satellite_0_40k.1474,-1.22690695,POINT (45.9991290008 -1.3884993918),1474
coastal_migration_satellite_0_40k.1475,-0.17813917,POINT (45.99606847 -1.3878476853000001),1475
coastal_migration_satellite_0_40k.1476,-1.06466604,POINT (45.9929548371 -1.3877744966),1476
coastal_migration_satellite_0_40k.1477,-1.78588215,POINT (45.9898897029 -1.3886175391),1477
coastal_migration_satellite_0_40k.1478,-1.93055133,POINT (45.986824399 -1.3894605816),1478
coastal_migration_satellite_0_40k.1479,-3.1147521,POINT (45.9837589254 -1.3903036241),1479
coastal_migration_satellite_0_40k.1480,-2.88256873,POINT (45.9806607033 -1.3907385628),1480
coastal_migration_satellite_0_40k.1481,-3.61036967,POINT (45.9775419134 -1.3909182817),1481
coastal_migration_satellite_0_40k.1482,-0.86582321,POINT (45.9744278725 -1.3906805587),1482
coastal_migration_satellite_0_40k.1483,-2.09882153,POINT (45.9713147701 -1.3903485812),1483
coastal_migration_satellite_0_40k.1484,-8.07596208,POINT (45.9682402166 -1.3895767635),1484
coastal_migration_satellite_0_40k.1485,-1.39062271,POINT (45.9651704429 -1.3887634229999999),1485
coastal_migration_satellite_0_40k.1486,-1.14512436,POINT (45.9621682891 -1.3875301115),1486
coastal_migration_satellite_0_40k.1487,-1.97898438,POINT (45.9591786826 -1.3862431102000001),1487
coastal_migration_satellite_0_40k.1488,-3.38795842,POINT (45.9562781547 -1.3845798977000001),1488
coastal_migration_satellite_0_40k.1489,-0.40840033,POINT (45.9534115202 -1.3828111053),1489
coastal_migration_satellite_0_40k.1490,-1.45929004,POINT (45.9506560013 -1.3806976756),1490
coastal_migration_satellite_0_40k.1491,-2.77079186,POINT (45.947981309 -1.3783953495),1491
coastal_migration_satellite_0_40k.1492,-2.44592131,POINT (45.9454311011 -1.3758025336),1492
coastal_migration_satellite_0_40k.1493,-0.67248997,POINT (45.9430046606 -1.372983063),1493
coastal_migration_satellite_0_40k.1494,-1.87487486,POINT (45.9406507613 -1.370030786),1494
coastal_migration_satellite_0_40k.1495,-2.39815197,POINT (45.9382967621 -1.3670785091),1495
coastal_migration_satellite_0_40k.1496,-3.51671176,POINT (45.9359426629 -1.3641262321),1496
coastal_migration_satellite_0_40k.1497,-1.11998885,POINT (45.9336570162 -1.3610674968),1497
coastal_migration_satellite_0_40k.1498,-2.0899674,POINT (45.9314294705 -1.3579184513),1498
coastal_migration_satellite_0_40k.1499,-2.96669522,POINT (45.9292018353 -1.3547694058),1499
coastal_migration_satellite_0_40k.1500,-1.9252432,POINT (45.9269741106 -1.3516203603),1500
coastal_migration_satellite_0_40k.1501,-2.13349538,POINT (45.9248577668 -1.3483194238),1501
coastal_migration_satellite_0_40k.1502,-0.37072786,POINT (45.9227901486 -1.3449520342),1502
coastal_migration_satellite_0_40k.1503,-4.10207786,POINT (45.9207224534 -1.3415846445000001),1503
coastal_migration_satellite_0_40k.1504,-0.15962495,POINT (45.918744403 -1.3381126111000001),1504
coastal_migration_satellite_0_40k.1505,-1.88392908,POINT (45.9169083367 -1.3344802952),1505
coastal_migration_satellite_0_40k.1506,-0.2023783,POINT (45.9152431872 -1.3306795505),1506
coastal_migration_satellite_0_40k.1507,-0.50944935,POINT (45.9135779878 -1.3268788058),1507
coastal_migration_satellite_0_40k.1508,-3.69836534,POINT (45.9119127383 -1.323078061),1508
coastal_migration_satellite_0_40k.1509,-1.49586899,POINT (45.9100545733 -1.3194731588),1509
coastal_migration_satellite_0_40k.1510,-1.58814711,POINT (45.9081187082 -1.3159470399),1510
coastal_migration_satellite_0_40k.1511,-4.11008621,POINT (45.9061827755 -1.312420921),1511
coastal_migration_satellite_0_40k.1512,-2.27979488,POINT (45.9042467754 -1.3088948021),1512
coastal_migration_satellite_0_40k.1513,-2.80705386,POINT (45.9023107077 -1.3053686832),1513
coastal_migration_satellite_0_40k.1514,-2.3671846,POINT (45.9005741556 -1.3016469269),1514
coastal_migration_satellite_0_40k.1515,0.85586802,POINT (45.899276773 -1.2975720416),1515
coastal_migration_satellite_0_40k.1516,-2.42875096,POINT (45.897739992 -1.2937249605),1516
coastal_migration_satellite_0_40k.1517,-2.41289251,POINT (45.8956807393 -1.2903521321),1517
coastal_migration_satellite_0_40k.1518,-1.29580155,POINT (45.8933813638 -1.2873092327),1518
coastal_migration_satellite_0_40k.1519,-2.27821572,POINT (45.8910818931 -1.2842663333),1519
coastal_migration_satellite_0_40k.1520,-2.44051832,POINT (45.8887823272 -1.2812234339),1520
coastal_migration_satellite_0_40k.1521,-5.83559004,POINT (45.8863970129 -1.2783268552),1521
coastal_migration_satellite_0_40k.1522,-0.02940295,POINT (45.8839165147 -1.2755925843),1522
coastal_migration_satellite_0_40k.1523,-0.63238384,POINT (45.881435905800004 -1.2728583134),1523
coastal_migration_satellite_0_40k.1524,-5.2318839,POINT (45.878955186 -1.2701240424),1524
coastal_migration_satellite_0_40k.1525,-7.15722327,POINT (45.8764294121 -1.267480986),1525
