"","type","Migration","name","x","y"
"70","tno:coastal_migration_satellite_0_40k",-6.36913695,183,-1.2314976553,45.6798649642
"71","tno:coastal_migration_satellite_0_40k",-6.42905414,184,-1.2297492802,45.6769769192
"72","tno:coastal_migration_satellite_0_40k",-10.02884492,185,-1.2271397346,45.6744269602
"73","tno:coastal_migration_satellite_0_40k",-8.99543143,186,-1.2236827083,45.6724369991
"74","tno:coastal_migration_satellite_0_40k",-11.01971466,187,-1.2196195174,45.6711259629
"75","tno:coastal_migration_satellite_0_40k",-3.26712542,188,-1.2152771619,45.6703476399
"76","tno:coastal_migration_satellite_0_40k",1.76319256,189,-1.2108268817,45.6699860428
"77","tno:coastal_migration_satellite_0_40k",1.00414115,190,-1.2063354899,45.6700144974
"78","tno:coastal_migration_satellite_0_40k",1.54010786,191,-1.2018466513,45.6700626217
"79","tno:coastal_migration_satellite_0_40k",1.53291822,192,-1.1974213116,45.6705996545
"80","tno:coastal_migration_satellite_0_40k",3.99877532,193,-1.1931343925,45.6715340004
"81","tno:coastal_migration_satellite_0_40k",5.88936696,194,-1.1892280058,45.6730674517
"82","tno:coastal_migration_satellite_0_40k",5.71289296,195,-1.1860231825,45.6752379674
"83","tno:coastal_migration_satellite_0_40k",-78.2299608,196,-1.1860630754,45.6779552813
"84","tno:coastal_migration_satellite_0_40k",-5.29431335,197,-1.1904286148,45.6785044724
"85","tno:coastal_migration_satellite_0_40k",-5.78260516,198,-1.1948518188,45.6779953556
"86","tno:coastal_migration_satellite_0_40k",-1.90467194,199,-1.1991647585,45.6771191094
"87","tno:coastal_migration_satellite_0_40k",-1.68304383,200,-1.2034923496,45.6762926244
"88","tno:coastal_migration_satellite_0_40k",-5.10854248,201,-1.2079539474,45.6759981144
"89","tno:coastal_migration_satellite_0_40k",6.23434549,202,-1.2123888872,45.676390112
"90","tno:coastal_migration_satellite_0_40k",21.20161503,203,-1.2165092689,45.6775822498
"91","tno:coastal_migration_satellite_0_40k",-6.85060439,204,-1.2199951754,45.6795318608
"92","tno:coastal_migration_satellite_0_40k",21.17365503,205,-1.2226453135,45.6820536882
"93","tno:coastal_migration_satellite_0_40k",43.61699918,206,-1.2244816843,45.6849155981
"94","tno:coastal_migration_satellite_0_40k",-15.22918343,207,-1.2255740932,45.6879591438
"95","tno:coastal_migration_satellite_0_40k",1.42167142,208,-1.2257253709,45.6910514271
"96","tno:coastal_migration_satellite_0_40k",-1.12820133,209,-1.2231663571,45.6935704162
"97","tno:coastal_migration_satellite_0_40k",-2.09211137,210,-1.2196509302,45.6954816845
"98","tno:coastal_migration_satellite_0_40k",-3.40462036,211,-1.215369348,45.6963101969
"99","tno:coastal_migration_satellite_0_40k",-10.32230021,212,-1.2109212411,45.6960361142
"100","tno:coastal_migration_satellite_0_40k",-5.18316757,213,-1.2067132346,45.6949508134
"101","tno:coastal_migration_satellite_0_40k",0.93635755,214,-1.2028445071,45.6933569117
"102","tno:coastal_migration_satellite_0_40k",-2.06556936,215,-1.1989757797,45.6917629645
"103","tno:coastal_migration_satellite_0_40k",8.28128933,216,-1.1952593273,45.6900079307
"104","tno:coastal_migration_satellite_0_40k",0.12056032,217,-1.191641582,45.6881483948
"105","tno:coastal_migration_satellite_0_40k",-2.71163206,218,-1.1880238366,45.6862887971
"106","tno:coastal_migration_satellite_0_40k",7.37097851,219,-1.1844060913,45.6844291376
"107","tno:coastal_migration_satellite_0_40k",-44.76275714,220,-1.180788346,45.6825694162
"108","tno:coastal_migration_satellite_0_40k",18.90425974,221,-1.1771193035,45.6807623975
"109","tno:coastal_migration_satellite_0_40k",-15.41890242,222,-1.1733102179,45.6790994661
"110","tno:coastal_migration_satellite_0_40k",-5.27908,223,-1.1695011323,45.6774364853
"111","tno:coastal_migration_satellite_0_40k",-0.2641846,224,-1.1656920466,45.6757734551
